lag,i,sample_size,algorithm,TPR,FDR,SHD
4,4,1500,CPC,0.111111111,0.933333333,22
4,4,1500,DCD,0.9,0.4,7
4,4,1500,PCMCI+,0.4,0.857142857,15
4,6,500,BOSS-LiNGAM,0.333333333,0.882352941,19
4,6,500,CD-NOD,0.181818182,0.6,12
4,6,500,CFCI,0.5,0.833333333,18
4,6,500,CPC,0.5,0.823529412,17
4,6,500,DCD,0.769230769,0.545454545,15
4,6,500,PCMCI+,0.166666667,0.928571429,18
4,6,1000,BOSS-LiNGAM,0.222222222,0.882352941,22
4,6,1000,CD-NOD,0.181818182,0.6,12
4,6,1000,CFCI,0.222222222,0.875,21
4,6,1000,CPC,0.111111111,0.9375,23
4,6,1000,DCD,0.769230769,0.545454545,15
4,6,1000,PCMCI+,0.166666667,0.928571429,18
4,6,1500,BOSS-LiNGAM,0.222222222,0.882352941,22
4,6,1500,CD-NOD,0.181818182,0.6,12
4,6,1500,CFCI,0.222222222,0.875,21
4,6,1500,CPC,0.111111111,0.928571429,21
4,6,1500,DCD,0.769230769,0.545454545,15
4,6,1500,PCMCI+,0.333333333,0.875,18
4,8,500,BOSS-LiNGAM,0.4,0.918367347,51
4,8,500,CD-NOD,0.285714286,0.6,8
4,8,500,CFCI,0.3,0.896551724,33
4,8,500,CPC,0.2,0.925925926,33
4,8,500,DCD,0.785714286,0.5,14
4,8,500,PCMCI+,0.25,0.857142857,18
4,8,1000,BOSS-LiNGAM,0.375,0.888888889,29
4,8,1000,CD-NOD,0.285714286,0.6,8
4,8,1000,CFCI,0.25,0.904761905,25
4,8,1000,CPC,0.25,0.913043478,27
4,8,1000,DCD,0.785714286,0.52173913,15
4,8,1000,PCMCI+,0.25,0.857142857,18
4,8,1500,BOSS-LiNGAM,0.25,0.92,29
4,8,1500,CD-NOD,0.285714286,0.6,8
4,8,1500,CFCI,0.375,0.863636364,24
4,8,1500,CPC,0.25,0.916666667,28
4,8,1500,DCD,0.785714286,0.52173913,15
4,8,1500,PCMCI+,0.25,0.857142857,18
4,10,500,BOSS-LiNGAM,0.4,0.913043478,48
4,10,500,CD-NOD,0.222222222,0.6,10
4,10,500,CFCI,0.3,0.903225806,35
4,10,500,CPC,0.2,0.92,31
4,10,500,DCD,0.764705882,0.458333333,15
4,10,500,PCMCI+,0.3,0.823529412,21
4,10,1000,BOSS-LiNGAM,0.4,0.918367347,51
4,10,1000,CD-NOD,0.222222222,0.6,10
4,10,1000,CFCI,0.3,0.896551724,33
4,10,1000,CPC,0.2,0.925925926,33
4,10,1000,DCD,0.764705882,0.458333333,15
4,10,1000,PCMCI+,0.3,0.823529412,21
4,10,1500,BOSS-LiNGAM,0.4,0.918367347,51
4,10,1500,CD-NOD,0.222222222,0.6,10
4,10,1500,CFCI,0.3,0.892857143,32
4,10,1500,CPC,0.2,0.928571429,34
4,10,1500,DCD,0.764705882,0.48,16
4,10,1500,PCMCI+,0.3,0.823529412,21
